original_folder,display_name_cleaned,standard_chain,standard_segment,main_company_count_original,source_files,original_fields_available,original_node_samples
光伏产业链企查查,光伏,新能源与电力装备产业链,光伏,4097,光伏产业链企查查/光伏产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、PET薄膜、储能用铅酸蓄电池、光伏接线盒、光伏支架、光伏汇流箱、光伏硅片、光伏级多晶硅、光伏组件、光伏逆变器
光伏生产设备,光伏生产设备,新能源与电力装备产业链,光伏生产设备,576,光伏生产设备/光伏生产设备.xlsx,ID、一级分类、三级分类、二级分类、五级分类、企业(机构)类型、企业地址、企业简介、企业规模、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、资质、通信地址、邮箱,
特高压产业链企查查,特高压,新能源与电力装备产业链,特高压,164799,特高压产业链企查查/特高压产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,IGBT、交流互感器、传感器、供电、全封闭组合电器(GIS)、平波电抗器、开关电器、换流变压器、换流阀、架空导线
锂离子电池产业链企查查,锂离子电池,新能源与电力装备产业链,锂离子电池,2633,锂离子电池产业链企查查/锂离子电池产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、三元材料、三元锂电池、储能锂电池、动力锂电池、消费锂电池、电池回收利用、石墨负极材料、硅碳负极材料、磷酸铁锂
风电产业链企查查,风电,新能源与电力装备产业链,风电,5016,风电产业链企查查/风电产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,法兰、海上风力发电、海岸风力发电、涂料、环氧树脂、玻璃纤维、电力电缆、碳纤维、结构胶、聚氨酯泡沫
家用电器产业链企查查,家用电器,智能物联与消费电子产业链,家用电器,14432,家用电器产业链企查查/家用电器.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、个人护理小家电、健身电器、冰箱、冰箱配件、厨房垃圾处理器、厨房小家电、取暖电器、吸油烟机、家用影视设备
智能手机产业链企查查,智能手机,智能物联与消费电子产业链,智能手机,5847,智能手机产业链企查查/智能手机产业链.xlsx,一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,CPU芯片、OLED显示面板、光学镜头、印制电路板、图像传感器、基础电信服务、存储器芯片、射频天线、射频芯片、手机主板
智能物联,智能物联,智能物联与消费电子产业链,智能物联,95412,智能物联/智能物联产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、通信地址、邮箱,
消费电子产业链企查查,消费电子,智能物联与消费电子产业链,消费电子,20053,消费电子产业链企查查/消费电子产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、DSP、OLED显示屏、VR/AR设备、主板组件、便携音乐播放器、元器件与零部件、基础元器件、消费电子零部件、摄像头模组零部件、精密结构件、消费电子设备、个人消费电子设备、智能手机、元器件与零部件、基础元器件、消费电子零部件、集成电路、电子显示屏、OLED显示屏、消费电子设备、其他消费电子设备、车载影音、元器件与零部件、基础元器件、集成电路、摄像头模组零部件、光学镜头、图像传感器、消费电子设备、个人消费电子设备、智能手机、可穿戴电子设备、照相机、耳机、游戏设备、家庭消费电子设备、电视机、音箱、音响、其他消费电子设备、电子教育设备、VR/AR设备、车载影音、摄像机、投影仪、家庭影院、电子阅读器、元器件与零部件、基础元器件、集成电路、消费电子设备、个人消费电子设备、平板电脑
物联网产业链企查查,物联网,智能物联与消费电子产业链,物联网,38273,物联网产业链企查查/物联网产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,IT系统集成、LoRa模块、MCU、NB-IoT模块、RFID电子标签、RFID读写设备、SoC、Wifi模组、Zigbee模块、云计算服务
人形机器人,人形机器人,机器人产业链,人形机器人,11012,人形机器人/人形机器人产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
工业机器人,工业机器人,机器人产业链,工业机器人,2582,工业机器人/工业机器人产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、资质、通信地址、邮箱,
机器人,机器人,机器人产业链,机器人综合,21962,机器人/机器人产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、资质、通信地址、邮箱,
机器人产业链企查查,机器人,机器人产业链,机器人补充清单,4306,机器人产业链企查查/机器人产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、AGV、MEMS传感器、SCARA机器人、上下料机器人、人工智能芯片、人机界面、伺服电机、位移传感器、倾角传感器
汽车产业链企查查,汽车,汽车与智能网联汽车产业链,汽车,63792,汽车产业链企查查/汽车.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,万向节、中型货车、二手车服务、休闲专用车、传动轴、作业型专用汽车、公交汽车客运、出租车客运、发动机电子控制系统(EECs)、密封件
汽车电子产业链企查查,汽车电子,汽车与智能网联汽车产业链,汽车电子,19590,汽车电子产业链企查查/汽车电子.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,DC/DC转换器、IGBT、专用汽车、乘用车、低速报警器AVAS、发动机电子控制系统(EECs)、安全芯片、客车、整车控制器VCU、新能源汽车
汽车轻量化产业链企查查,汽车轻量化,汽车与智能网联汽车产业链,汽车轻量化,19254,汽车轻量化产业链企查查/汽车轻量化.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,一体化压铸、发动机盖、底盘车架、改性塑料、汽车内饰件、汽车冲压件、汽车发动机、汽车吸塑件、汽车外饰件、汽车橡胶零部件
汽车零部件产业链企查查,汽车零部件,汽车与智能网联汽车产业链,汽车零部件,45910,汽车零部件产业链企查查/汽车零部件.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,万向节、专用汽车、乘用车、仪表板、六氟磷酸锂、制动踏板、动力转向泵、发动机电子控制系统(EECs)、客车、底盘电子控制系统
自动驾驶产业链企查查,自动驾驶,汽车与智能网联汽车产业链,自动驾驶,21981,自动驾驶产业链企查查/自动驾驶.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、传感器芯片、智能汽车中控、智能汽车语音交互系统、智能网联汽车云平台、毫米波雷达、汽车域控制器DCU、汽车线束、港口自动驾驶机械、激光雷达
石油化工产业链企查查,石油化工,石油化工产业链,石油化工,113876,石油化工产业链企查查/石油化工产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、ABS塑料、PET纤维、PE塑料、PP塑料、PS塑料、PVC塑料、丁二烯、丁基橡胶、丁烷
低空经济产业链企查查,低空经济,空天装备与低空经济产业链,低空经济,1574,低空经济产业链企查查/低空经济.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、低空出行、低空旅游、低空物流、农林植保、动力锂电池、安防监控无人机、摄影无人机、无人机航拍摄影、无人机表演
空天装备,空天装备,空天装备与低空经济产业链,空天装备,13576,空天装备/空天装备.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、营业期限、资质、通信地址、邮箱,
航空航天装备产业链企查查,航空航天装备,空天装备与低空经济产业链,航空航天装备,27162,航空航天装备产业链企查查/航空航天装备产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,卫星、卫星组件、商用无人机、商用飞机、太空资源开发、探空火箭、无人机反制设备、机载机电系统、消费无人机、火箭部组件
纺织产业链企查查,纺织,纺织产业链,纺织,24699,纺织产业链企查查/纺织产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,丝类纺织织物、丝线、丝绸面料、其他家纺品、化纤机械、化纤纺织织物、化纤面料、印染机械、合成纤维纱线、床上用品
大气治理产业链企查查,大气治理,绿色环保与资源循环产业链,大气治理,1949,大气治理产业链企查查/大气治理.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、VOCs废气治理服务、室内空气污染治理服务、废气净化催化剂、气体或烟雾分析仪、气体监测仪器、烟气脱硝、烟气脱硫、烟气除尘、空气净化装置
污水处理产业链企查查,污水处理,绿色环保与资源循环产业链,污水处理,12434,污水处理产业链企查查/污水处理产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、养殖业污水处理服务、农村污水治理服务、医疗废水水处理服务、压滤机、工业污水治理服务、市政污水治理服务、水处理环保材料、水污染监测仪器、水资源循环利用
环保产业链企查查,环保,绿色环保与资源循环产业链,环保,10040,环保产业链企查查/环保.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、土壤修复服务、垃圾焚烧炉、城市环境卫生管理服务、室内空气污染治理服务、工业废弃物治理服务、工业污水治理服务、废旧机械设备拆解、废旧金属回收利用、水污染监测仪器
碳中和产业链企查查,碳中和,绿色环保与资源循环产业链,碳中和,42793,碳中和产业链企查查/碳中和.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、储氢设备、光伏设备、制氢设备、动力锂电池、太阳能发电、废旧机械设备拆解、废旧金属回收利用、新能源汽车整车、林业碳汇
资源循环利用产业链企查查,资源循环利用,绿色环保与资源循环产业链,资源循环利用,18495,资源循环利用产业链企查查/循环利用产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,余热发电、再生建筑材料、再生纸、再生资源再利用、危险废弃物综合利用、厨余垃圾资源化利用、园区循环化改造、垃圾焚烧炉、工业固体废弃物综合利用装备、工业水污染综合利用
区块链,区块链,软件与数字安全产业链,区块链,3526,区块链/区块链产业链汇总.xlsx,ID、一级分类、三级分类、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、通信地址、邮箱,
国产软件产业链企查查,国产软件,软件与数字安全产业链,国产软件,8877,国产软件产业链企查查/国产软件产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,BIOS固件、BMC固件、CRM、ERP、OA软件、SAP、人力资源管理软件、关系型数据库、制造执行系统(MES)、制造运营系统(MOM)
网络安全产业链企查查,网络安全,软件与数字安全产业链,网络安全,2203,网络安全产业链企查查/网络安全.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,VPN安全、上网行为管理及流控、主机安全、云安全服务、云抗DDoS、内容安全、办公设施安全、域名安全、威胁检测与捕获、安全事件管理
食品饮料产业链企查查,食品饮料,食品饮料产业链,食品饮料,91223,食品饮料产业链企查查/食品饮料产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,-、乳制品、供应链物流服务、农业种植、冷冻饮品、冷链物流、包装专用设备、包装制品、含乳饮料、啤酒
数控机床,数控机床,高端装备与智能制造产业链,数控机床,2907,数控机床/数控机床产业链汇总.xlsx,"ID、一级分类、三级分类、上市企业,科技小巨人企业,高新技术企业、不可用电话、二级分类、五级分类、企业规模、公司名称、公司类型、六级分类、其他电话、其他邮箱、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业门类、宁波海天精工股份有限公司、实缴资本、成立日期、所属区县、所属城市、所属省份、曾用名、最新年报地址、核准日期、法定代表人、注册号、注册地址、注册资本、登记状态、纳税人识别号、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、通信地址、邮箱",
机械设备产业链企查查,机械设备,高端装备与智能制造产业链,机械设备,70272,机械设备产业链企查查/机械设备产业链.xlsx,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,3D打印设备及零配件、三轮车、串联机器人、五金工具、伺服控制器、供应用仪器仪表、光学仪器、内燃机、农用机械、凿岩机
